lon	lat
-17	80
-20	79
-22	78
-19	77
-19	76
-19	75
-20	74
-22	73
-23	72
-22	71
-23	70
-25	69
-32	68
-34	67
-36	66
-39	66
-40	65
-41	64
-42	63
-42	62
-43	61
-43	60
-45	60
-48	61
-49	62
-51	63
-52	64
-52	65
-53	66
-62	66
-64	65
-64	64
-64	63
-64	62
-64	61
-64	60
-63	59
-62	58
-61	57
-61	56
-59	55
-57	54
-56	53
-56	52
-56	51
-56	50
-54	49
-53	48
-53	47
-56	47
-60	46
-62	45
-65	44
-67	43
-70	42
-72	41
-75	40
-75	39
-75	38
-76	37
-76	36
-76	35
-78	34
-80	33
-81	32
-82	31
-82	30
-81	29
-81	28
-80	27
-80	26
-80	25
-81	24
-81	23
-78	22
-76	21
-74	20
-69	19
-65	18
-62	17
-61	16
-61	15
-61	14
-61	13
-62	12
-62	11
-61	10
-61	9
-59	8
-58	7
-57	6
-53	5
-52	4
-51	3
-51	2
-51	1
-49	0
-47	-1
-45	-2
-40	-3
-38	-4
-37	-5
-35	-6
-35	-7
-35	-8
-35	-9
-36	-10
-37	-11
-38	-12
-39	-13
-39	-14
-39	-15
-39	-16
-39	-17
-40	-18
-40	-19
-41	-20
-41	-21
-42	-22
-43	-23
-46	-24
-48	-25
-49	-26
-49	-27
-49	-28
-50	-29
-50	-30
-51	-31
-52	-32
-53	-33
-54	-34
-55	-35
-56	-36
-57	-37
-58	-38
-62	-39
-62	-40
-63	-41
-65	-42
-64	-43
-65	-44
-66	-45
-67	-46
-67	-47
-66	-48
-67	-49
-68	-50
-69	-51
-69	-52
-68	-53
-67	-54
-65	-55
-67	-56
-67	-57
-67	-58
-67	-59
-67	-60
-67	-61
-67	-62
-67	-63
-67	-64
-67	-65
-67	-66
-66	-66
-64	-65
-61	-64
-56	-63
-55	-63
-57	-64
-61	-65
-62	-66
-64	-67
-65	-68
-63	-69
-62	-70
-61	-71
-61	-72
-61	-73
-61	-74
-63	-75
-58	-76
-54	-77
-49	-78
-48	-78
-45	-78
-35	-78
-32	-77
-26	-76
-22	-76
-19	-76
-18	-75
-16	-74
-16	-73
-14	-73
-11	-72
-10	-71
-8	-72
-7	-71
-6	-71
-5	-72
-1	-72
3	-71
9	-70
11	-71
13	-70
16	-70
19	-71
20	-71
20	-70
20	-69
20	-68
20	-67
20	-66
20	-65
20	-64
20	-63
20	-62
20	-61
20	-60
20	-59
20	-58
20	-57
20	-56
20	-55
20	-54
20	-53
20	-52
20	-51
20	-50
20	-49
20	-48
20	-47
20	-46
20	-45
20	-44
20	-43
20	-42
20	-41
20	-40
20	-39
20	-38
20	-37
20	-36
20	-35
19	-34
18	-33
18	-32
18	-31
17	-30
17	-29
16	-28
15	-27
15	-26
15	-25
15	-24
15	-23
14	-22
14	-21
13	-20
13	-19
12	-18
12	-17
12	-16
12	-15
13	-14
13	-13
14	-12
14	-11
13	-10
13	-9
13	-8
13	-7
12	-6
12	-5
11	-4
10	-3
9	-2
9	-1
10	0
10	1
10	2
10	3
10	4
6	5
5	6
1	6
-1	5
-3	5
-6	5
-9	5
-10	6
-11	7
-13	8
-13	9
-14	10
-15	11
-16	12
-17	13
-17	14
-17	15
-16	16
-16	17
-16	18
-16	19
-16	20
-17	21
-17	22
-16	23
-16	24
-15	25
-14	26
-13	27
-13	28
-11	29
-10	30
-10	31
-9	32
-9	33
-7	34
-6	35
-6	36
-7	37
-8	37
-9	37
-9	38
-9	39
-9	40
-9	41
-9	42
-9	43
-2	43
-1	43
-1	44
-1	45
-1	46
-2	47
-4	48
-2	49
0	49
1	50
2	51
4	52
5	53
9	54
9	55
8	56
9	57
10	58
10	59
8	58
7	58
6	59
5	60
5	61
5	62
7	63
10	64
12	65
13	66
14	67
15	68
17	69
19	70
22	71
21	72
20	73
19	74
18	75
17	76
15	77
14	78
12	79
11	80
8	80
4	80
0	80
-4	80
-8	80
-12	80
