lon	lat
20	-71
20	-70
20	-69
20	-68
20	-67
20	-66
20	-65
20	-64
20	-63
20	-62
20	-61
20	-60
20	-59
20	-58
20	-57
20	-56
20	-55
20	-54
20	-53
20	-52
20	-51
20	-50
20	-49
20	-48
20	-47
20	-46
20	-45
20	-44
20	-43
20	-42
20	-41
20	-40
20	-39
20	-38
20	-37
20	-36
20	-35
21	-34
24	-34
25	-34
28	-33
29	-32
30	-31
31	-30
32	-29
32	-28
33	-27
33	-26
34	-25
35	-24
35	-23
35	-22
35	-21
35	-20
36	-19
37	-18
39	-17
40	-16
40	-15
40	-14
40	-13
40	-12
40	-11
40	-10
39	-9
39	-8
39	-7
39	-6
39	-5
40	-4
40	-3
41	-2
42	-1
43	0
44	1
45	2
46	3
47	4
48	5
49	6
49	7
50	8
50	9
51	10
51	11
51	12
48	11
47	11
45	10
44	10
43	11
43	12
43	13
44	13
45	13
48	14
50	15
52	16
54	17
56	18
57	19
58	20
59	21
60	22
59	23
57	24
56	25
56	26
58	26
61	25
62	25
65	26
66	26
67	25
68	24
69	23
69	22
70	21
72	21
73	21
73	20
73	19
73	18
73	17
74	16
74	15
75	14
75	13
75	12
76	11
76	10
77	9
78	9
79	10
80	11
80	12
80	13
80	14
80	15
81	16
82	17
84	18
85	19
86	20
87	21
88	22
92	22
92	21
93	20
94	19
95	18
95	17
95	16
96	16
96	17
98	17
98	16
98	15
98	14
99	13
99	12
99	11
99	10
98	9
98	8
100	7
100	6
101	5
101	4
102	3
102	2
101	2
100	3
99	4
98	5
96	5
97	4
98	3
98	2
99	1
100	0
101	-1
101	-2
102	-3
103	-4
104	-5
105	-6
106	-7
110	-8
115	-9
117	-9
118	-9
120	-10
123	-11
124	-12
125	-13
126	-14
125	-15
124	-16
123	-17
122	-18
122	-19
120	-20
116	-21
115	-22
114	-23
114	-24
114	-25
114	-26
114	-27
114	-28
115	-29
115	-30
115	-31
116	-32
116	-33
115	-34
117	-35
118	-35
120	-34
121	-34
123	-34
124	-33
128	-32
132	-32
134	-33
135	-34
136	-35
138	-36
140	-37
141	-38
143	-38
145	-38
146	-39
146	-40
146	-41
145	-41
145	-42
146	-43
147	-44
147	-45
147	-46
147	-47
147	-48
147	-49
147	-50
147	-51
147	-52
147	-53
147	-54
147	-55
147	-56
147	-57
147	-58
147	-59
147	-60
147	-61
147	-62
147	-63
147	-64
147	-65
147	-66
147	-67
147	-68
144	-68
144	-67
135	-66
131	-66
129	-67
127	-67
122	-67
115	-67
114	-66
111	-66
110	-67
108	-67
102	-66
99	-67
87	-67
86	-67
80	-68
78	-69
74	-70
72	-71
71	-72
68	-73
67	-73
67	-72
69	-71
68	-70
69	-69
69	-68
68	-68
63	-68
57	-67
55	-66
52	-66
49	-67
46	-68
44	-68
43	-68
40	-69
39	-70
36	-70
34	-69
33	-69
33	-70
32	-70
28	-71
27	-71
26	-71
