lon	lat
11	37
12.44	37.8
15	37
15.55	38.25
15.8	38.2
16.05	38
17	39.3
16.4	39.8
16.9	40.5
18.3	39.9
18.3	40.4
17	41
15	42
14	43
12.5	44
12	45
13	46
14	45
16	44
18	43
20	42
20	41
20	40
21	39
22	38
22	37
23	37
23	38
24	38
23	39
22	40
23	41
25	41
27	41
29	41
29	40
27	40
27	39
27	38
28	37
30	36
31	37
32	37
33	36.5
34	36.5
35	37
36	37
36	36
36	35
36	34
35	33
35	32
34	31
33	31
31	31
29	30.5
27	31
24	32
22	32.5
21	32.5
20	32
20	31
20	30
19	30
17	31
16	31
15	32
13	32.5
12	32.5
11	33
10	34
11	35
10	36
