lon	lat
-179	-78
-175	-78
-170	-78
-165	-78
-158	-78
-158	-77
-155	-77
-153	-78
-150	-78
-146	-78
-146	-77
-146	-76
-141	-76
-136	-75
-132	-75
-128	-75
-124	-75
-120	-75
-116	-75
-115	-74
-114	-75
-111	-75
-110	-76
-101	-76
-99	-76
-99	-75
-102	-74
-103	-73
-98	-73
-97	-74
-91	-74
-90	-73
-89	-73
-84	-74
-81	-74
-80	-73
-78	-74
-74	-74
-67	-73
-67	-72
-67	-71
-68	-70
-67	-69
-67	-68
-67	-67
-67	-66
-67	-65
-67	-64
-67	-63
-67	-62
-67	-61
-67	-60
-67	-59
-67	-58
-67	-57
-67	-56
-69	-55
-71	-55
-72	-54
-73	-53
-74	-52
-75	-51
-75	-50
-75	-49
-74	-48
-74	-47
-74	-46
-73	-45
-73	-44
-73	-43
-73	-42
-73	-41
-73	-40
-73	-39
-73	-38
-73	-37
-72	-36
-72	-35
-71	-34
-71	-33
-71	-32
-71	-31
-71	-30
-71	-29
-71	-28
-70	-27
-70	-26
-70	-25
-70	-24
-70	-23
-70	-22
-70	-21
-70	-20
-70	-19
-70	-18
-71	-17
-73	-16
-75	-15
-76	-14
-76	-13
-77	-12
-77	-11
-78	-10
-78	-9
-79	-8
-79	-7
-81	-6
-81	-5
-81	-4
-80	-3
-80	-2
-80	-1
-80	0
-79	1
-78	2
-77	3
-77	4
-77	5
-77	6
-77	7
-78	8
-79	9
-80	9
-81	8
-83	9
-85	10
-85	11
-86	12
-87	13
-91	14
-92	15
-94	16
-97	16
-100	17
-102	18
-104	19
-105	20
-105	21
-105	22
-106	23
-110	23
-111	24
-112	25
-112	26
-114	27
-114	28
-114	29
-115	30
-116	31
-117	32
-117	33
-118	34
-120	35
-121	36
-122	37
-122	38
-123	39
-124	40
-124	41
-124	42
-124	43
-124	44
-124	45
-124	46
-124	47
-124	48
-125	49
-126	50
-127	51
-128	52
-129	53
-130	54
-131	55
-133	56
-135	57
-136	58
-138	59
-140	60
-144	60
-147	61
-148	60
-152	59
-153	60
-154	59
-155	58
-157	57
-160	56
-163	55
-166	54
-169	53
-173	52
-179	52
179	52
175	52
172	53
169	54
167	55
164	56
162	56
162	55
160	54
159	53
158	52
157	51
155	50
154	49
153	48
152	47
150	46
148	45
146	44
144	43
142	42
141	41
142	40
141	39
141	38
141	37
140	36
138	35
137	35
136	34
134	34
132	33
131	32
131	31
131	30
130	29
129	28
128	27
127	26
125	25
122	24
121	23
121	22
121	21
121	20
121	19
122	18
122	17
122	16
121	15
123	14
124	13
125	12
125	11
126	10
126	9
126	8
126	7
126	6
127	5
127	4
128	3
128	2
128	1
128	0
132	-1
134	-1
134	-2
135	-3
137	-2
139	-2
142	-3
144	-4
145	-5
147	-6
147	-7
148	-8
149	-9
150	-10
148	-10
147	-9
145	-8
143	-8
142	-9
142	-10
142	-11
143	-12
143	-13
143	-13
144	-14
145	-15
145	-16
146	-17
146	-18
146	-19
148	-20
149	-21
149	-22
150	-23
151	-24
152	-25
153	-26
153	-27
153	-28
153	-29
153	-30
153	-31
152	-32
151	-33
151	-34
150	-35
150	-36
150	-37
147	-38
146	-39
146	-40
146	-41
148	-41
148	-42
147	-43
147	-44
147	-45
147	-46
147	-47
147	-48
147	-49
147	-50
147	-51
147	-52
147	-53
147	-54
147	-55
147	-56
147	-57
147	-58
147	-59
147	-60
147	-61
147	-62
147	-63
147	-64
147	-65
147	-66
147	-67
147	-68
147	-69
152	-69
155	-69
160	-70
162	-71
167	-71
170	-72
169	-73
166	-73
164	-74
162	-75
162	-76
163	-77
164	-78
169	-78
174	-78
179	-78
