article,method,our,our_rangeminus,our_rangeplus,depth,depth_range,water_mass,latitude,longitude,ocean
Broecker et al. (1991),O2 + 14C,0.12,-9999,-9999,3605,-9999,Bathypelagic,5,-30,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.7,0.3,0.3,116,-9999,SACW-E18,-1.5,7.53,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.3,0.01,0.01,116,-9999,SACW-E18,-1.5,7.53,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.5,0.4,0.4,116,-9999,SACW-E18,-1.5,7.53,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10,0.7,0.7,327,-9999,SACW-E12,-4.73,7.95,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.3,0.01,0.01,327,-9999,SACW-E12,-4.73,7.95,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.8,0.7,0.7,327,-9999,SACW-E12,-4.73,7.95,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,17.5,1.0,1.0,187,-9999,SACW-T18,-28.81,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.13,0.03,0.03,187,-9999,SACW-T18,-28.81,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,13.5,1.6,1.6,187,-9999,SACW-T18,-28.81,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10.4,0.7,0.7,379,-9999,SACW-T12,-30.4,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.23,0.08,0.08,379,-9999,SACW-T12,-30.4,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,12.1,0.9,0.9,379,-9999,SACW-T12,-30.4,9,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,5,0.1,0.1,863,-9999,AAIW,-25.85,8.75,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,3.27,0.05,0.05,863,-9999,AAIW,-25.85,8.75,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.3,0.2,0.2,863,-9999,AAIW,-25.85,8.75,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.5,1.3,1.3,166,-9999,STMW18,-23.98,-38.6,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.3,0.2,0.2,166,-9999,STMW18,-23.98,-38.6,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10.7,0.8,0.8,166,-9999,STMW18,-23.98,-38.6,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.7,0.6,0.6,379,-9999,SACW-T18,-14.18,-37.72,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.1,0.2,0.2,379,-9999,SACW-T18,-14.18,-37.72,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,8.5,0.8,0.8,379,-9999,SACW-T18,-14.18,-37.72,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,6.3,0.4,0.4,159,-9999,EQ13,-22.96,-35.44,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,7.4,0.2,0.2,159,-9999,EQ13,-22.96,-35.44,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,10.1,0.9,0.9,159,-9999,EQ13,-22.96,-35.44,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,4.5,0.1,0.1,816,-9999,AAIW,-25.9,-41.61,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,3.5,0.1,0.1,816,-9999,AAIW,-25.9,-41.61,Atlantic
Alvarez-Salgado et al. (2014),O2 + CFC11,5,0.1,0.1,816,-9999,AAIW,-25.9,-41.61,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,10,-9999,-9999,200,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,8.7,-9999,-9999,250,-9999,-9999,31.7,-64.2,Atlantic
Stanley et al. (2012),O2 + T/3He + TTD,8.2,-9999,-9999,300,-9999,-9999,31.7,-64.2,Atlantic
