PROVCODE;PROVDESCR;Biome;productivity_gC_m2_d;prod_class;chl_mg_m2;chl_class;photic_depth_m;photic_class;mld_sigma_m;mld_class;temp_0_celsius;temp_50_celsius;temp_diff
FKLD;Coastal - SW Atlantic Shelves Province;C;1.3;4;;;30;2;101;5;8.538;7.116;-1.422
CHIL;Coastal - Chile-Peru Current Coastal Province;C;0.74;2;16;4;43;3;23;2;16.661;14.191;-2.47
TASM;Westerlies - Tasman Sea Province;W;0.45;2;10;3;40;3;68;4;17.824;17.095;-0.729
BRAZ;Coastal - Brazil Current Coastal Province;C;0.83;3;26;5;45;3;22;2;21.785;20.296;-1.489
SATL;Trades - South Atlantic Gyral Province (SATG);T;0.21;1;2;1;64;5;44;3;21.661;20.839;-0.822
EAFR;Coastal - E. Africa Coastal Province;C;0.52;2;3;1;50;4;35;2;24.039;22.782;-1.257
AUSW;Coastal - Australia-Indonesia Coastal Province;C;0.55;2;5;2;47;3;43;3;23.449;22.635;-0.814
AUSE;Coastal - East Australian Coastal Province;C;0.64;2;9;2;45;3;42;3;24.23;23.406;-0.824
ISSG;Trades - Indian S. Subtropical Gyre Province;T;0.19;1;2;1;63;5;42;3;23.029;22.1;-0.929
BENG;Coastal - Benguela Current Coastal Province;C;0.88;3;16;4;41;3;40;3;18.119;16.603;-1.516
ARCH;Trades - Archipelagic Deep Basins Province;T;0.27;1;3;1;55;4;32;2;26.38;25.316;-1.064
SUND;Coastal - Sunda-Arafura Shelves Province;C;0.9;3;13;3;39;2;16;1;28.456;27.364;-1.092
GUIN;Coastal - Guinea Current Coastal Province;C;1.36;4;10;3;36;2;5;1;25.875;18.671;-7.204
PEQD;Trades - Pacific Equatorial Divergence Province;T;0.31;1;6;2;56;4;33;2;26.006;24.372;-1.634
MONS;Trades - Indian Monsoon Gyres Province;T;0.29;1;3;1;55;4;26;2;28.237;26.901;-1.336
ETRA;Trades - Eastern Tropical Atlantic Province;T;0.43;2;6;2;45;3;20;2;26.155;21.465;-4.69
CNRY;Coastal - Canary Coastal Province (EACB);C;2.01;5;35;5;29;1;28;2;21.192;18.044;-3.148
GUIA;Coastal - Guianas Coastal Province;C;1.92;5;56;5;39;2;15;1;27.606;26.745;-0.861
ARAB;Coastal - NW Arabian Upwelling Province;C;1.24;4;18;4;39;2;29;2;27.096;25.321;-1.775
WTRA;Trades - Western Tropical Atlantic Province;T;0.36;1;4;1;49;3;27;2;27.208;25.706;-1.502
